,date,Stock,compound,neg,neu,pos
379,2021-06-19,CRM,-0.0516,0.085,0.915,0.0
380,2021-06-22,CRM,0.4588,0.0,0.857,0.143
381,2021-06-23,CRM,-0.2202,0.1045,0.8955,0.0
382,2021-06-29,CRM,0.0,0.0,1.0,0.0
383,2021-07-02,CRM,0.0,0.0,1.0,0.0
384,2021-07-06,CRM,-0.1531,0.096,0.904,0.0
385,2021-07-08,CRM,0.0,0.0,1.0,0.0
386,2021-07-11,CRM,0.6705,0.0,0.56,0.44
387,2021-07-12,CRM,0.4019,0.0,0.649,0.351
388,2021-07-13,CRM,0.4767,0.0,0.86,0.14
389,2021-07-15,CRM,0.3818,0.0,0.776,0.224
390,2021-07-16,CRM,0.1798,0.0685,0.794,0.1375
391,2021-07-19,CRM,0.0,0.0,1.0,0.0
392,2021-07-20,CRM,0.6486,0.0,0.825,0.175
393,2021-07-21,CRM,0.1468,0.0,0.9460000000000001,0.054
394,2021-07-22,CRM,0.0,0.0,1.0,0.0
395,2021-07-23,CRM,-0.5096,0.32,0.68,0.0
396,2021-07-26,CRM,0.4404,0.0,0.674,0.326
397,2021-07-27,CRM,0.0,0.0,1.0,0.0
398,2021-07-29,CRM,0.0,0.0,1.0,0.0
399,2021-07-30,CRM,0.5106,0.0,0.769,0.231
400,2021-08-02,CRM,0.7089,0.0,0.671,0.329
401,2021-08-03,CRM,0.5423,0.0,0.72,0.28
402,2021-08-03,CRM,0.0,0.0,1.0,0.0
403,2021-08-04,CRM,0.0,0.0,1.0,0.0
404,2021-08-06,CRM,0.0129,0.0,0.9635,0.0365
405,2021-08-08,CRM,-0.31930000000000003,0.189,0.8109999999999999,0.0
406,2021-08-09,CRM,0.0,0.0,1.0,0.0
407,2021-08-11,CRM,0.0,0.0,1.0,0.0
408,2021-08-19,CRM,0.5022500000000001,0.0,0.6275,0.3725
409,2021-08-24,CRM,0.7845,0.0,0.706,0.294
410,2021-08-25,CRM,0.0,0.0,1.0,0.0
411,2021-08-26,CRM,0.0,0.0,1.0,0.0
412,2021-09-10,CRM,0.5994,0.0,0.505,0.495
413,2021-09-13,CRM,0.743,0.0,0.742,0.258
414,2021-09-24,CRM,0.4404,0.0,0.818,0.182
415,2021-09-27,CRM,0.0,0.0,1.0,0.0
416,2015-07-03,MA,0.0,0.0,1.0,0.0
417,2020-02-04,MA,0.0,0.0,1.0,0.0
418,2020-04-23,MA,0.0,0.0,1.0,0.0
419,2020-10-11,MA,0.3818,0.0,0.755,0.245
420,2020-11-26,MA,0.0,0.0,1.0,0.0
421,2020-11-30,MA,0.3818,0.0,0.833,0.167
422,2020-12-01,MA,0.0,0.0,1.0,0.0
423,2020-12-02,MA,-0.2732,0.259,0.741,0.0
424,2020-12-09,MA,0.0,0.0,1.0,0.0
425,2020-12-30,MA,-0.4215,0.219,0.781,0.0
426,2021-01-13,MA,0.0,0.0,1.0,0.0
427,2021-01-24,MA,0.0,0.0,1.0,0.0
428,2021-01-25,MA,-0.3818,0.271,0.729,0.0
429,2021-01-28,MA,0.0,0.0,1.0,0.0
430,2021-02-16,MA,0.7717,0.0,0.427,0.573
431,2021-02-17,MA,0.1779,0.0,0.805,0.195
432,2021-02-25,MA,0.0,0.0,1.0,0.0
433,2021-03-12,MA,0.0,0.0,1.0,0.0
434,2021-03-16,MA,0.33335000000000004,0.0,0.8235,0.1765
435,2021-03-17,MA,0.7964,0.0,0.426,0.574
436,2021-03-28,MA,0.6124,0.0,0.444,0.556
437,2021-04-07,MA,-0.18865,0.2105,0.6950000000000001,0.0945
438,2021-04-14,MA,0.0,0.0,1.0,0.0
439,2021-04-19,MA,0.0,0.0,1.0,0.0
440,2021-04-20,MA,0.0,0.0,1.0,0.0
441,2021-04-22,MA,0.3818,0.0,0.822,0.178
442,2021-05-03,MA,0.3818,0.0,0.776,0.224
443,2021-05-06,MA,0.0,0.0,1.0,0.0
444,2021-05-13,MA,0.0,0.0,1.0,0.0
445,2021-05-18,MA,0.0129,0.071,0.855,0.074
446,2021-05-20,MA,0.5574,0.0,0.625,0.375
447,2021-05-26,MA,0.34,0.0,0.821,0.179
448,2021-06-01,MA,0.14855000000000002,0.0315,0.83875,0.12974999999999998
449,2021-06-02,MA,0.4939,0.0,0.686,0.314
450,2021-06-06,MA,-0.4404,0.248,0.661,0.091
